,lat,lon,mask
865,-87.1727752685547,1.25,False
866,-87.1727752685547,2.5,False
867,-87.1727752685547,3.75,False
868,-87.1727752685547,5.0,False
869,-87.1727752685547,6.25,False
870,-87.1727752685547,7.5,False
871,-87.1727752685547,8.75,False
872,-87.1727752685547,10.0,False
873,-87.1727752685547,11.25,False
874,-87.1727752685547,12.5,False
875,-87.1727752685547,13.75,False
876,-87.1727752685547,15.0,False
877,-87.1727752685547,16.25,False
878,-87.1727752685547,17.5,False
879,-87.1727752685547,18.75,False
880,-87.1727752685547,20.0,False
881,-87.1727752685547,21.25,False
882,-87.1727752685547,22.5,False
883,-87.1727752685547,23.75,False
884,-87.1727752685547,25.0,False
885,-87.1727752685547,26.25,False
886,-87.1727752685547,27.5,False
